genotype,mean_lat,lat95,lat99,std_dev_lat,macs,params
"Genotype(normal=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 2), ('avg_pool_3x3', 0), ('skip_connect', 2), ('mobilenetV3_1.0_3x3_Hswish_SE', 0), ('sep_conv_3x3', 1), ('skip_connect', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('mobilenetV3_1.0_3x3_Hswish_SE', 0), ('skip_connect', 1), ('skip_connect', 1), ('mobilenetV3_1.0_3x3_Hsigmoid_SE', 2), ('sep_conv_3x3', 1), ('sep_conv_7x7', 1), ('skip_connect', 2)], reduce_concat=range(2, 6))",33.71480941772461,36.19790077209473,37.16158866882324,1.0749879368107103,614706176.0,4112686.0
"Genotype(normal=[('dil_conv_3x3', 0), ('dil_conv_5x5', 0), ('sep_conv_5x5', 2), ('mobilenetV2_1.4', 1), ('mobilenetV3_1.0_5x5_Hsigmoid', 2), ('mobilenetV3_1.0_3x3_Hsigmoid_SE', 0), ('skip_connect', 1), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 1)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 0), ('avg_pool_3x3', 1), ('mobilenetV3_1.0_3x3_Hswish', 0), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 2), ('mobilenetV3_1.0_3x3_Hswish', 0), ('mobilenetV3_1.0_3x3_Hsigmoid', 1), ('mobilenetV3_1.0_5x5_Hsigmoid', 3), ('skip_connect', 1)], reduce_concat=range(2, 6))",53.19199085235596,54.488420486450195,58.15267562866211,1.1429337721531,1142498560.0,7516630.0
"Genotype(normal=[('dil_conv_3x3', 0), ('dil_conv_5x5', 1), ('mobilenetV3_1.0_5x5_Hsigmoid', 2), ('mobilenetV2_1.0', 2), ('mobilenetV3_1.0_3x3_Hsigmoid_SE', 3), ('max_pool_3x3', 1), ('sep_conv_5x5', 2), ('max_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('mobilenetV3_1.0_3x3_Hswish', 1), ('sep_conv_3x3', 0), ('skip_connect', 1), ('dil_conv_5x5', 1), ('dil_conv_3x3', 3), ('avg_pool_3x3', 0), ('mobilenetV2_1.4', 2), ('mobilenetV3_1.0_3x3_Hswish_SE', 0)], reduce_concat=range(2, 6))",42.9794979095459,44.956207275390625,45.17936706542969,1.4865646335594433,710452992.0,4672990.0
"Genotype(normal=[('dil_conv_3x3', 0), ('mobilenetV3_1.0_3x3_Hsigmoid', 1), ('dil_conv_5x5', 2), ('mobilenetV3_1.0_5x5_Hsigmoid', 2), ('mobilenetV3_1.0_5x5_Hsigmoid', 3), ('mobilenetV3_1.0_3x3_Hsigmoid_SE', 3), ('dil_conv_3x3', 0), ('sep_conv_7x7', 0)], normal_concat=range(2, 6), reduce=[('sep_conv_7x7', 0), ('mobilenetV3_1.0_3x3_Hswish', 0), ('max_pool_3x3', 1), ('mobilenetV3_1.0_3x3_Hswish_SE', 0), ('max_pool_3x3', 3), ('mobilenetV3_1.0_3x3_Hswish_SE', 2), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 4), ('mobilenetV3_1.0_3x3_Hswish', 0)], reduce_concat=range(2, 6))",52.654805183410645,53.262948989868164,53.93624305725098,0.7858666960360515,863232128.0,5499190.0
"Genotype(normal=[('dil_conv_3x3', 0), ('mobilenetV3_1.0_3x3_Hswish_SE', 1), ('mobilenetV2_1.4', 2), ('mobilenetV3_1.0_3x3_Hswish', 0), ('sep_conv_5x5', 0), ('mobilenetV3_1.0_3x3_Hswish_SE', 0), ('mobilenetV2_1.0', 0), ('dil_conv_3x3', 2)], normal_concat=range(2, 6), reduce=[('mobilenetV3_1.0_5x5_Hswish', 0), ('sep_conv_3x3', 0), ('mobilenetV3_1.0_5x5_Hswish_SE', 1), ('sep_conv_3x3', 0), ('mobilenetV3_1.0_3x3_Hswish_SE', 2), ('mobilenetV2_1.4', 3), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 3), ('mobilenetV2_1.4', 3)], reduce_concat=range(2, 6))",52.052178382873535,56.44559860229492,56.61654472351074,1.6550287695712622,1213605888.0,8322310.0
"Genotype(normal=[('dil_conv_3x3', 0), ('sep_conv_5x5', 1), ('mobilenetV3_1.0_5x5_Hswish_SE', 0), ('mobilenetV3_1.0_3x3_Hsigmoid_SE', 0), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 2), ('mobilenetV3_1.0_5x5_Hsigmoid', 3), ('mobilenetV2_1.0', 3), ('avg_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('mobilenetV3_1.0_5x5_Hsigmoid', 1), ('mobilenetV2_1.4', 1), ('mobilenetV3_1.0_3x3_Hswish', 2), ('skip_connect', 2), ('sep_conv_5x5', 0), ('mobilenetV3_1.0_3x3_Hswish', 1), ('mobilenetV3_1.0_5x5_Hswish', 3), ('avg_pool_3x3', 1)], reduce_concat=range(2, 6))",59.1684889793396,62.09611892700195,62.233924865722656,1.9637608493624124,874222528.0,5615830.0
"Genotype(normal=[('dil_conv_3x3', 0), ('sep_conv_7x7', 1), ('mobilenetV3_1.0_5x5_Hswish_SE', 2), ('sep_conv_5x5', 2), ('mobilenetV3_1.0_3x3_Hswish_SE', 1), ('mobilenetV3_1.0_3x3_Hswish_SE', 3), ('sep_conv_3x3', 4), ('mobilenetV3_1.0_5x5_Hsigmoid', 0)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 1), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 0), ('dil_conv_5x5', 2), ('mobilenetV3_1.0_5x5_Hswish', 0), ('sep_conv_3x3', 1), ('mobilenetV2_1.4', 2), ('mobilenetV3_1.0_5x5_Hswish', 2), ('mobilenetV3_1.0_3x3_Hswish', 4)], reduce_concat=range(2, 6))",59.57375526428223,64.4378662109375,64.65888023376465,2.5896293525910776,966785984.0,6479398.0
"Genotype(normal=[('dil_conv_3x3', 1), ('dil_conv_3x3', 1), ('sep_conv_7x7', 2), ('dil_conv_3x3', 0), ('mobilenetV3_1.0_3x3_Hsigmoid_SE', 0), ('mobilenetV3_1.0_3x3_Hswish_SE', 0), ('mobilenetV3_1.0_5x5_Hswish', 4), ('mobilenetV3_1.0_5x5_Hsigmoid', 4)], normal_concat=range(2, 6), reduce=[('skip_connect', 0), ('mobilenetV2_1.4', 1), ('dil_conv_5x5', 2), ('skip_connect', 2), ('mobilenetV3_1.0_5x5_Hswish', 0), ('mobilenetV3_1.0_3x3_Hswish', 1), ('dil_conv_3x3', 0), ('mobilenetV3_1.0_5x5_Hswish_SE', 0)], reduce_concat=range(2, 6))",52.74437427520752,54.132938385009766,56.04147911071777,0.7044502263781189,928641408.0,5782582.0
"Genotype(normal=[('dil_conv_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_5x5', 0), ('max_pool_3x3', 2), ('dil_conv_3x3', 0), ('max_pool_3x3', 0), ('mobilenetV3_1.0_3x3_Hsigmoid', 4), ('mobilenetV3_1.0_3x3_Hswish', 0)], normal_concat=range(2, 6), reduce=[('skip_connect', 0), ('mobilenetV3_1.0_5x5_Hsigmoid', 1), ('dil_conv_3x3', 0), ('mobilenetV3_1.0_3x3_Hswish_SE', 2), ('sep_conv_5x5', 2), ('sep_conv_7x7', 0), ('sep_conv_5x5', 3), ('mobilenetV3_1.0_3x3_Hswish', 3)], reduce_concat=range(2, 6))",31.6874361038208,31.790733337402344,32.09233283996582,0.08666644041025957,633186368.0,4109446.0
"Genotype(normal=[('dil_conv_3x3', 1), ('dil_conv_5x5', 0), ('sep_conv_3x3', 0), ('skip_connect', 0), ('sep_conv_5x5', 1), ('max_pool_3x3', 2), ('mobilenetV3_1.0_3x3_Hsigmoid', 0), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 1), ('dil_conv_5x5', 0), ('mobilenetV3_1.0_3x3_Hswish_SE', 0), ('max_pool_3x3', 2), ('mobilenetV3_1.0_5x5_Hswish_SE', 2), ('mobilenetV3_1.0_5x5_Hswish', 2), ('mobilenetV3_1.0_3x3_Hsigmoid', 2), ('mobilenetV3_1.0_5x5_Hswish_SE', 2)], reduce_concat=range(2, 6))",42.45520353317261,45.97043991088867,46.68259620666504,1.2725951588870372,716172480.0,4721590.0
